id,name,time,location,host,url
"310981535","Writers Meetup at The Playhouse Bar","Tue, Sep 23 · 6:00 PM EDT","NYC","Tue, Sep 23 · 6:00 PM EDT","https://www.meetup.com/thewritinggroup/events/310981535/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310824628","Software Freedom Day @ Hack Manhattan","Sat, Sep 20 · 2:00 PM EDT","NYC","Sat, Sep 20 · 2:00 PM EDT","https://www.meetup.com/hackmanhattan/events/310824628/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310843661","Rooftop Wine Tasting Sunset Social","Sat, Sep 20 · 7:00 PM EDT","NYC","Sat, Sep 20 · 7:00 PM EDT","https://www.meetup.com/nyc-social/events/310843661/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310541348","Kushi Kushi Yaki","Fri, Sep 26 · 6:30 PM EDT","NYC","Fri, Sep 26 · 6:30 PM EDT","https://www.meetup.com/nyc-ramen-enthusiasts-club/events/310541348/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311085594","New York Tech & Beer® - Happy Hour @ Smithfield Hall","Thu, Oct 16 · 7:00 PM EDT","NYC","Thu, Oct 16 · 7:00 PM EDT","https://www.meetup.com/nyctnb/events/311085594/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310596760","Language exchange Sunday!","Every Sun","NYC","Every Sun • Sep 21 · 4:00 PM EDT","https://www.meetup.com/meetup-group-szqyjzpl/events/310596760/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310910263","[Register on Luma] Tech and Startup Networking Mixer","Thu, Oct 2 · 5:00 PM EDT","NYC","Thu, Oct 2 · 5:00 PM EDT","https://www.meetup.com/startups-hq/events/310910263/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310393984","The Bushwick Experience: The History, the Street Art + Open Studios!","Sat, Sep 27 · 11:00 AM EDT","NYC","Sat, Sep 27 · 11:00 AM EDT","https://www.meetup.com/exploring-nyc-history-and-neighborhoods/events/310393984/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310632459","AfropolitanNYC - Borderless Black Diaspora Experience (UNGA Week Edition)","Thu, Sep 25 · 5:00 PM EDT","NYC","Thu, Sep 25 · 5:00 PM EDT","https://www.meetup.com/african-social-events-in-nyc-for-professionals/events/310632459/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310913025","Spiritual Awakening and Dark Night of the Soul","Mon, Sep 22 · 6:30 PM EDT","NYC","Mon, Sep 22 · 6:30 PM EDT","https://www.meetup.com/students-of-spiritual-alchemy/events/310913025/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-online&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
